Pathways	Compounds of pathway	Reactions of pathway	SMILES
trehalose biosynthesis II	H+ // ADP // ADP-alpha-D-glucose // D-glucopyranose 6-phosphate // phosphate // alpha,alpha-trehalose // alpha,alpha-trehalose 6-phosphate // H2O	alpha,alpha-trehalose 6-phosphate + H2O  ->  alpha,alpha-trehalose + phosphate // ADP-alpha-D-glucose + D-glucopyranose 6-phosphate  ->  alpha,alpha-trehalose 6-phosphate + ADP + H+	[H+] // C(OP(=O)([O-])OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3) // C([C@@H]1([C@H]([C@@H]([C@H]([C@H](O1)OP(OP(OC[C@H]4(O[C@@H](N2(C3(\C(\N=C/2)=C(N)/N=C\N=3)))[C@H](O)[C@H](O)4))(=O)[O-])(=O)[O-])O)O)O))O // C([C@H]1(OC([C@@H]([C@H]([C@@H]1O)O)O)O))OP([O-])([O-])=O // [O-]P(=O)(O)[O-] // C([C@H]1(O[C@@H]([C@@H]([C@H]([C@@H]1O)O)O)O[C@@H]2([C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)))O // C([C@H]1(O[C@@H]([C@@H]([C@H]([C@@H]1O)O)O)O[C@@H]2([C@@H]([C@H]([C@@H]([C@H](O2)COP([O-])(=O)[O-])O)O)O)))O // O
NAD/NADP-NADH/NADPH mitochondrial interconversion	e- // ADP // ATP // NAD+ // ubiquinol-6 // ubiquinone-6 // NADH // H+ // NADPH // a carboxylate // an aldehyde // NADP+ // H2O	an aldehyde + NADP+ + H2O  ->  a carboxylate + NADPH + 2 H+ // NADH + ubiquinone-6[inner membrane] + H+  ->  NAD+ + ubiquinol-6[inner membrane] // ATP + NADH  ->  ADP + NADPH + H+ // an aldehyde + NAD+ + H2O  ->  a carboxylate + NADH + 2 H+ // ATP + NAD+  ->  ADP + NADP+ + H+	In SUBSEQ, `end' (3) is beyond the end of the sequence (2).
superoxide radicals degradation	H+ // superoxide // dioxygen // H2O // hydrogen peroxide	2 hydrogen peroxide  ->  2 H2O + dioxygen // 2 superoxide + 2 H+  ->  hydrogen peroxide + dioxygen	[H+] // [O-]O // O=O // O // OO
glycosylphosphatidylinositol anchor modification (yeast)	a [yeast protein]-[alpha-D-Man-(1→2)]-[6-O-pEtN]-alpha-D-Man-(1→2)-[6-O-pEtN]-alpha-D-Man-(1→6)-[2-O-pEtN]-alpha-D-Man-(1→4)-alpha-D-GlcN-(1→6)-[2-acyl]-[1-phosphatidyl]-1D-myo-inositol // H+ // a fatty acid // H2O // coenzyme A // a [yeast protein]-[alpha-D-Man-(1→2)]-[6-O-pEtN]-alpha-D-Man-(1→2)-[6-O-pEtN]-alpha-D-Man-(1→6)-[2-O-pEtN]-alpha-D-Man-(1→4)-alpha-D-GlcN-(1→6)-1-[1-acyl-2-cerotoyl-phosphatidyl]-1D-myo-inositol // cerotoyl-CoA // a [yeast protein]-[alpha-D-Man-(1→2)]-[6-O-pEtN]-alpha-D-Man-(1→2)-[6-O-pEtN]-alpha-D-Man-(1→6)-[2-O-pEtN]-alpha-D-Man-(1→4)-alpha-D-GlcN-(1→6)-1-[2-lyso-phosphatidyl]-1D-myo-inositol // a [yeast protein]-[alpha-D-Man-(1→2)]-[6-O-pEtN]-alpha-D-Man-(1→2)-[6-O-pEtN]-alpha-D-Man-(1→6)-[2-O-pEtN]-alpha-D-Man-(1→4)-alpha-D-GlcN-(1→6)-[1-phosphatidyl]-1D-myo-inositol	[yeast protein]-[alpha-D-Man-(1->2)]-[6-O-pEtN]-alpha-D-Man-(1->2)-[6-O-pEtN]-alpha-D-Man-(1->6)-[2-O-pEtN]-alpha-D-Man-(1->4)-alpha-D-GlcN-(1->6)-[1-phosphatidyl]-1D-myo-inositol[in]  ->  [yeast protein]-[alpha-D-Man-(1->2)]-[6-O-pEtN]-alpha-D-Man-(1->2)-[6-O-pEtN]-alpha-D-Man-(1->6)-[2-O-pEtN]-alpha-D-Man-(1->4)-alpha-D-GlcN-(1->6)-[1-phosphatidyl]-1D-myo-inositol[out] // cerotoyl-CoA + [yeast protein]-[alpha-D-Man-(1->2)]-[6-O-pEtN]-alpha-D-Man-(1->2)-[6-O-pEtN]-alpha-D-Man-(1->6)-[2-O-pEtN]-alpha-D-Man-(1->4)-alpha-D-GlcN-(1->6)-1-[2-lyso-phosphatidyl]-1D-myo-inositol  ->  [yeast protein]-[alpha-D-Man-(1->2)]-[6-O-pEtN]-alpha-D-Man-(1->2)-[6-O-pEtN]-alpha-D-Man-(1->6)-[2-O-pEtN]-alpha-D-Man-(1->4)-alpha-D-GlcN-(1->6)-1-[1-acyl-2-cerotoyl-phosphatidyl]-1D-myo-inositol + coenzyme A // [yeast protein]-[alpha-D-Man-(1->2)]-[6-O-pEtN]-alpha-D-Man-(1->2)-[6-O-pEtN]-alpha-D-Man-(1->6)-[2-O-pEtN]-alpha-D-Man-(1->4)-alpha-D-GlcN-(1->6)-[1-phosphatidyl]-1D-myo-inositol + H2O  ->  [yeast protein]-[alpha-D-Man-(1->2)]-[6-O-pEtN]-alpha-D-Man-(1->2)-[6-O-pEtN]-alpha-D-Man-(1->6)-[2-O-pEtN]-alpha-D-Man-(1->4)-alpha-D-GlcN-(1->6)-1-[2-lyso-phosphatidyl]-1D-myo-inositol + a fatty acid + H+ // [yeast protein]-[alpha-D-Man-(1->2)]-[6-O-pEtN]-alpha-D-Man-(1->2)-[6-O-pEtN]-alpha-D-Man-(1->6)-[2-O-pEtN]-alpha-D-Man-(1->4)-alpha-D-GlcN-(1->6)-[2-acyl]-[1-phosphatidyl]-1D-myo-inositol + H2O  ->  [yeast protein]-[alpha-D-Man-(1->2)]-[6-O-pEtN]-alpha-D-Man-(1->2)-[6-O-pEtN]-alpha-D-Man-(1->6)-[2-O-pEtN]-alpha-D-Man-(1->4)-alpha-D-GlcN-(1->6)-[1-phosphatidyl]-1D-myo-inositol + a fatty acid + H+	C(OC(=O)[R1])[C@H](COP(=O)([O-])O[C@H]1([C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H](O)1))OC(=O)[R2] // [H+] // C([R])(=O)[O-] // O // CC(C)(COP([O-])(=O)OP(OC[C@H]3(O[C@@H](N1(C2(\N=C/N=C(C(\N=C/1)=2)/N)))[C@H](O)[C@H](OP([O-])(=O)[O-])3))(=O)[O-])[C@@H](O)C(=O)NCCC(=O)NCCS // CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC([C@H](O)C(C)(C)COP([O-])(=O)OP([O-])(=O)OC[C@@H]1([C@@H](OP(=O)([O-])[O-])[C@@H](O)[C@@H](O1)N2(\C=N/C3(C(/N)=N\C=N/C2=3))))=O
L-serine degradation	L-serine // 2-aminoprop-2-enoate // ammonium // pyruvate // 2-iminopropanoate // H2O	2-iminopropanoate + H2O  ->  pyruvate + ammonium // 2-aminoprop-2-enoate  ->  2-iminopropanoate // L-serine  ->  2-aminoprop-2-enoate + H2O	C(O)[C@H]([NH3+])C(=O)[O-] // C=C([NH3+])C(=O)[O-] // [NH4+] // CC(=O)C(=O)[O-] // CC(C(=O)[O-])=[NH2+] // O
nicotinamide riboside salvage pathway II	H+ // nicotinamide // D-ribofuranose // 1-(beta-D ribofuranosyl)nicotinamide // H2O	1-(beta-D ribofuranosyl)nicotinamide + H2O  ->  D-ribofuranose + nicotinamide + H+	[H+] // C1(\C=C/C(/C(=O)N)=C\N=1) // C(=O)[R] // C(O)[C@@H]1([C@@H](O)[C@@H](O)[C@@H](O1)[N+]2(\C=C/C=C(/C=2)/C(=O)N)) // O
NAD biosynthesis from 2-amino-3-carboxymuconate semialdehyde	NAD+ // AMP // L-glutamate // ATP // nicotinate adenine dinucleotide // L-glutamine // 5-phospho-alpha-D-ribose 1-diphosphate // CO2 // diphosphate // beta-nicotinate D-ribonucleotide // H+ // H2O // quinolinate // 2-amino-3-carboxymuconate-6-semialdehyde	2-amino-3-carboxymuconate-6-semialdehyde  ->  quinolinate + H2O + H+ // CO2 + beta-nicotinate D-ribonucleotide + diphosphate  <-  5-phospho-alpha-D-ribose 1-diphosphate + quinolinate + 2 H+ // ATP + nicotinate adenine dinucleotide + L-glutamine + H2O  ->  L-glutamate + AMP + NAD+ + diphosphate + H+ // beta-nicotinate D-ribonucleotide + ATP + H+  ->  nicotinate adenine dinucleotide + diphosphate	C5(/C(/C(N)=O)=C\C=C/[N+](/[C@@H]4(O[C@H](COP(OP(OC[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3))(=O)[O-])(=O)[O-])[C@@H](O)[C@@H](O)4))=5) // C(OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3) // C(CC[C@@H](C(=O)[O-])[NH3+])([O-])=O // C(OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3) // C5(/C(/C([O-])=O)=C\C=C/[N+](/[C@@H]4(O[C@H](COP(OP(OC[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3))(=O)[O-])(=O)[O-])[C@@H](O)[C@@H](O)4))=5) // C(=O)(N)CC[C@H]([NH3+])C([O-])=O // C(OP(=O)([O-])[O-])[C@@H]1([C@@H](O)[C@@H](O)[C@H](O1)OP(OP([O-])(=O)[O-])([O-])=O) // C(=O)=O // O=P(O)(OP([O-])([O-])=O)[O-] // C(OP(=O)([O-])[O-])[C@@H]2([C@@H](O)[C@@H](O)[C@H]([N+]1(\C=C/C=C(/C=1)/C(=O)[O-]))O2) // [H+] // O // C1(\N=C(C(/C([O-])=O)=C\C=1)\C([O-])=O) // C(=O)([O-])C(\C=C\C=O)=C(C([O-])=O)/[NH3+]
UDP-alpha-D-galactose biosynthesis	UDP-alpha-D-galactose // UDP-alpha-D-glucose	UDP-alpha-D-glucose  <-->  UDP-alpha-D-galactose	C(O)[C@@H]1([C@H](O)[C@H](O)[C@@H](O)[C@H](O1)OP(OP(OC[C@@H]3([C@H]([C@H]([C@H](N2(\C=C/C(=O)NC2=O))O3)O)O))(=O)[O-])(=O)[O-]) // C(O)[C@@H]1([C@@H](O)[C@H](O)[C@@H](O)[C@H](O1)OP(OP(OC[C@@H]3([C@H]([C@H]([C@H](N2(\C=C/C(=O)NC2=O))O3)O)O))(=O)[O-])(=O)[O-])
L-alanine biosynthesis III	L-alanine // an [L-cysteine desulfurase]-S-sulfanyl-L-cysteine // an [L-cysteine desulfurase]-L-cysteine // L-cysteine	an [L-cysteine desulfurase]-L-cysteine + L-cysteine  ->  an [L-cysteine desulfurase]-S-sulfanyl-L-cysteine + L-alanine	C[C@H]([NH3+])C([O-])=O // C(=O)([an [L-cysteine desulfurase]])[C@@H](N[an [L-cysteine desulfurase]])CSS // C(=O)([a protein])[C@@H](N[a protein])CS // C(S)[C@@H](C(=O)[O-])[NH3+]
pyridoxal 5'-phosphate salvage I	pyridoxamine // pyridoxine 5'-phosphate // hydrogen peroxide // ammonium // dioxygen // H2O // pyridoxamine 5'-phosphate // pyridoxal 5'-phosphate // ADP // ATP // pyridoxal // NADPH // H+ // NADP+ // pyridoxine	pyridoxine + NADP+  <-->  pyridoxal + NADPH + H+ // ATP + pyridoxal  ->  ADP + pyridoxal 5'-phosphate + H+ // pyridoxamine 5'-phosphate + dioxygen + H2O  ->  ammonium + hydrogen peroxide + pyridoxal 5'-phosphate // pyridoxine 5'-phosphate + dioxygen  ->  hydrogen peroxide + pyridoxal 5'-phosphate // ATP + pyridoxamine  ->  ADP + pyridoxamine 5'-phosphate + H+ // ATP + pyridoxine  ->  ADP + pyridoxine 5'-phosphate + H+	CC1(\C(\O)=C(C(/CO)=C\N=1)\C[NH3+]) // CC1(\C(\O)=C(C(/COP([O-])(=O)[O-])=C\N=1)\CO) // OO // [NH4+] // O=O // O // CC1(\C(\O)=C(C(/COP([O-])([O-])=O)=C\N=1)\C[NH3+]) // CC1(/N=C\C(\COP(=O)([O-])[O-])=C(C(/O)=1)\C=O) // C(OP(=O)([O-])OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3) // C(OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3) // CC1(/N=C\C(\CO)=C(C(/O)=1)\C=O) // C1(\N(/C=C(C\C=1)/C(=O)N)[C@@H]2(O[C@@H]([C@H]([C@H]2O)O)COP(OP(OC[C@H]5(O[C@@H](N3(C4(\C(\N=C/3)=C(N)/N=C\N=4)))[C@H](OP([O-])(=O)[O-])[C@H](O)5))(=O)[O-])(=O)[O-])) // [H+] // C5(/C=C\C(\C(=O)N)=C/[N+](/[C@@H]1(O[C@@H]([C@H]([C@H]1O)O)COP(OP(OC[C@H]4(O[C@@H](N2(C3(\C(\N=C/2)=C(N)/N=C\N=3)))[C@H](OP([O-])(=O)[O-])[C@H](O)4))(=O)[O-])(=O)[O-]))=5) // CC1(\C(\O)=C(C(/CO)=C\N=1)\CO)
phosphopantothenate biosynthesis I	AMP // diphosphate // beta-alanine // NADPH // (R)-pantoate // NADP+ // a tetrahydrofolate // 2-dehydropantoate // a 5,10-methylenetetrahydrofolate // 3-methyl-2-oxobutanoate // H2O // ADP // (R)-4'-phosphopantothenate // H+ // (R)-pantothenate // ATP	(R)-pantothenate + ATP  ->  (R)-4'-phosphopantothenate + ADP + H+ // a 5,10-methylenetetrahydrofolate + 3-methyl-2-oxobutanoate + H2O  ->  2-dehydropantoate + a tetrahydrofolate // (R)-pantoate + NADP+  <-  2-dehydropantoate + NADPH + H+ // beta-alanine + (R)-pantoate + ATP  ->  (R)-pantothenate + AMP + diphosphate + H+	C(OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3) // O=P(O)(OP([O-])([O-])=O)[O-] // C(C[NH3+])C([O-])=O // C1(\N(/C=C(C\C=1)/C(=O)N)[C@@H]2(O[C@@H]([C@H]([C@H]2O)O)COP(OP(OC[C@H]5(O[C@@H](N3(C4(\C(\N=C/3)=C(N)/N=C\N=4)))[C@H](OP([O-])(=O)[O-])[C@H](O)5))(=O)[O-])(=O)[O-])) // CC(C)(CO)[C@H](C([O-])=O)O // C5(/C=C\C(\C(=O)N)=C/[N+](/[C@@H]1(O[C@@H]([C@H]([C@H]1O)O)COP(OP(OC[C@H]4(O[C@@H](N2(C3(\C(\N=C/2)=C(N)/N=C\N=3)))[C@H](OP([O-])(=O)[O-])[C@H](O)4))(=O)[O-])(=O)[O-]))=5) // [R] // CC(C(=O)C([O-])=O)(CO)C // C3(NC4(/N=C(N)\NC(=O)C(/N2(CN(C1(\C=C/C(/C(=O)N[C@@H](CCC([R])=O)C([O-])=O)=C\C=1))C[C@@H]23))=4)) // CC(C(C([O-])=O)=O)C // O // C(OP(=O)([O-])OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3) // CC([C@H](C(=O)NCCC(=O)[O-])O)(COP([O-])([O-])=O)C // [H+] // CC(C)(CO)[C@@H](O)C(=O)NCCC(=O)[O-] // C(OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3)
proline degradation	e- // an electron-transfer quinol // an electron-transfer quinone // L-proline // NADH // L-glutamate // NAD+ // L-glutamate 5-semialdehyde // H+ // H2O // (S)-1-pyrroline-5-carboxylate	(S)-1-pyrroline-5-carboxylate + H+ + H2O  <-->  L-glutamate 5-semialdehyde // L-glutamate 5-semialdehyde + NAD+ + H2O  ->  L-glutamate + NADH + 2 H+ // L-proline[in] + a quinone[membrane]  ->  (S)-1-pyrroline-5-carboxylate[in] + a quinol[membrane] + H+[in]	In SUBSEQ, `end' (3) is beyond the end of the sequence (2).
